RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	9.458315e-01	-2.740525e-02
2	5.987095e-01	-2.261672e-01
3	2.812701e-01	-4.695438e-01
4	6.392108e-01	-2.909984e-01
5	4.343665e-01	-3.408524e-01
6	2.812710e-01	-4.695449e-01
7	3.561345e-01	-4.031401e-01
8	4.343638e-01	-3.408490e-01
9	3.948713e-01	-3.715258e-01
10	3.753995e-01	-3.872070e-01
11	3.561341e-01	-4.031397e-01
12	3.657392e-01	-3.951402e-01
13	3.561307e-01	-4.031355e-01
14	3.609296e-01	-3.991319e-01
15	3.633329e-01	-3.971357e-01
16	3.645389e-01	-3.961446e-01
17	3.657416e-01	-3.951458e-01
18	3.645356e-01	-3.961433e-01
19	3.651352e-01	-3.956474e-01
20	3.654308e-01	-3.954023e-01
21	3.648249e-01	-3.959042e-01
22	3.651207e-01	-3.956587e-01
23	3.652618e-01	-3.955409e-01
24	3.649526e-01	-3.957979e-01
25	3.646443e-01	-3.960531e-01
26	3.647838e-01	-3.959364e-01
27	3.644893e-01	-3.961814e-01
28	3.647983e-01	-3.959256e-01
29	3.642008e-01	-3.964208e-01
30	3.644981e-01	-3.961742e-01
