RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	4.958406e-01	1.000000e+00	-5.000000e+00	-5.000000e+00	0.000000e+00	0.000000e+00	-5.000000e+00	8.000000e+00	7.020000e+00	-1.980000e+00	-2.000000e+00	0.000000e+00	2.000000e+00
2	2.415953e-01	1.000000e+00	-2.013332e+00	-1.020066e+00	1.013267e+00	-9.999781e-01	-1.020066e+00	3.020020e+00	3.013465e+00	-3.006468e+00	-2.013245e+00	0.000000e+00	2.000000e+00
3	-6.438134e-02	1.000000e+00	-5.391585e-01	-1.144019e+00	1.461500e+00	1.109647e-04	-1.142909e+00	1.025404e+00	-4.210371e-01	-2.830364e+00	-1.461389e+00	0.000000e+00	2.000000e+00
4	3.554534e-01	5.000000e-01	-7.067930e-01	-1.829418e+00	1.709358e-01	1.085964e-04	-1.828332e+00						
5	-1.114301e+00	5.000000e-01	-2.970717e-01	-4.606141e-01	7.214013e-01	1.097887e-04	-4.595163e-01	4.467604e-01	1.294010e+00	-1.013919e+00	-7.212915e-01	0.000000e+00	2.000000e+00
6	-5.967811e-01	2.500000e-01	-5.391617e-01	-1.523075e-01	1.461501e+00	1.077165e-04	-1.512303e-01						
7	-1.199215e-01	1.250000e-01	-3.282758e-01	4.752612e-02	1.055819e+00	1.094026e-04	4.862015e-02						
8	2.637977e-01	6.250000e-02	-2.920035e-01	1.117419e-01	8.815551e-01	1.133901e-04	1.128758e-01						
9	-1.059976e+00	6.250000e-02	-2.895268e-01	1.340789e-01	7.998910e-01	1.115181e-04	1.351941e-01	4.350849e-01	1.060193e+00	-1.219538e+00	-7.997795e-01	0.000000e+00	2.000000e+00
10	-4.373991e-01	3.125000e-02	-2.970727e-01	1.417255e-01	7.214013e-01	1.081895e-04	1.428074e-01						
11	4.913687e-01	1.562500e-02	-2.920629e-01	1.444875e-01	7.602710e-01	1.105824e-04	1.455934e-01						
12	-1.759120e-01	1.562500e-02	-2.904839e-01	1.452334e-01	7.799847e-01	1.109175e-04	1.463426e-01	4.358856e-01	1.118327e+00	-1.167682e+00	-7.798738e-01	0.000000e+00	2.000000e+00
13	-2.385080e-01	7.812500e-03	-2.895272e-01	1.445102e-01	7.998911e-01	1.109264e-04	1.456195e-01						
14	-5.946502e-01	3.906250e-03	-2.899210e-01	1.450052e-01	7.899143e-01	1.205313e-04	1.462105e-01						
15	3.976930e-01	1.953125e-03	-2.901798e-01	1.452150e-01	7.849447e-01	1.203052e-04	1.464180e-01						
16	2.381846e-01	1.953125e-03	-2.903314e-01	1.453138e-01	7.824655e-01	1.089840e-04	1.464036e-01	4.357097e-01	1.111041e+00	-1.174158e+00	-7.823565e-01	0.000000e+00	2.000000e+00
17	-1.505966e-02	1.953125e-03	-2.901879e-01	1.453026e-01	7.849493e-01	1.080848e-04	1.463834e-01	4.355550e-01	1.103758e+00	-1.180638e+00	-7.848412e-01	0.000000e+00	2.000000e+00
18	3.214774e-01	9.765625e-04	-2.900535e-01	1.453035e-01	7.874362e-01	1.080849e-04	1.463844e-01						
19	5.677044e-01	9.765625e-04	-2.901201e-01	1.453365e-01	7.861971e-01	1.067226e-04	1.464037e-01	4.354867e-01	1.100104e+00	-1.183893e+00	-7.860904e-01	0.000000e+00	2.000000e+00
20	2.206703e+00	9.765625e-04	-2.900569e-01	1.453400e-01	7.874457e-01	1.024229e-04	1.463643e-01	4.354270e-01	1.096455e+00	-1.187155e+00	-7.873433e-01	0.000000e+00	2.000000e+00
21	-6.193320e-01	1.953125e-03	-2.899896e-01	1.453435e-01	7.886951e-01	1.075708e-04	1.464192e-01	4.353631e-01	1.092796e+00	-1.190403e+00	-7.885876e-01	0.000000e+00	2.000000e+00
22	-5.491437e-03	9.765625e-04	-2.898696e-01	1.453285e-01	7.911865e-01	1.080854e-04	1.464093e-01						
23	-7.516085e-02	4.882812e-04	-2.899289e-01	1.453521e-01	7.899452e-01	1.067233e-04	1.464194e-01						
24	3.043578e+00	2.441406e-04	-2.899584e-01	1.453628e-01	7.893297e-01	1.072787e-04	1.464356e-01						
25	3.499571e-01	4.882812e-04	-2.899722e-01	1.453675e-01	7.890309e-01	1.085423e-04	1.464529e-01	4.353474e-01	1.091814e+00	-1.191276e+00	-7.889224e-01	0.000000e+00	2.000000e+00
26	-5.240965e-01	4.882812e-04	-2.899420e-01	1.453652e-01	7.896655e-01	1.072828e-04	1.464380e-01	4.353219e-01	1.089961e+00	-1.192932e+00	-7.895583e-01	0.000000e+00	2.000000e+00
27	2.065955e+00	2.441406e-04	-2.899116e-01	1.453703e-01	7.903004e-01	1.072782e-04	1.464430e-01						
28	3.110301e-01	4.882812e-04	-2.899250e-01	1.453744e-01	7.900015e-01	1.085395e-04	1.464598e-01	4.353070e-01	1.088978e+00	-1.193805e+00	-7.898930e-01	0.000000e+00	2.000000e+00
29	-7.496319e-01	4.882812e-04	-2.898957e-01	1.453733e-01	7.906364e-01	1.072836e-04	1.464461e-01	4.352837e-01	1.087126e+00	-1.195461e+00	-7.905291e-01	0.000000e+00	2.000000e+00
30		2.441406e-04	-2.898663e-01	1.453796e-01	7.912715e-01	1.072790e-04	1.464524e-01						
