RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.102946e+00	1.148385e-04	1.104094e+00
3	6.868865e-01	1.136575e-04	6.880231e-01
4	3.855822e-01	1.136729e-04	3.867189e-01
5	2.033256e-01	1.136814e-04	2.044624e-01
6	1.455269e-01	1.115870e-04	1.466428e-01
7	2.033262e-01	1.115833e-04	2.044420e-01
8	1.584795e-01	1.072109e-04	1.595516e-01
9	1.479689e-01	1.086142e-04	1.490551e-01
10	1.457312e-01	1.157887e-04	1.468891e-01
11	1.453737e-01	1.161826e-04	1.465355e-01
12	1.455252e-01	1.164790e-04	1.466900e-01
13	1.453869e-01	1.129151e-04	1.465161e-01
14	1.455265e-01	1.129242e-04	1.466557e-01
15	1.454409e-01	1.125483e-04	1.465664e-01
16	1.454135e-01	1.024449e-04	1.464380e-01
17	1.453890e-01	1.070208e-04	1.464592e-01
18	1.454118e-01	1.073494e-04	1.464853e-01
19	1.453996e-01	1.068669e-04	1.464682e-01
20	1.453939e-01	1.076082e-04	1.464700e-01
21	1.454058e-01	1.067976e-04	1.464737e-01
22	1.453996e-01	1.076216e-04	1.464758e-01
23	1.453964e-01	1.090668e-04	1.464871e-01
24	1.454029e-01	1.075916e-04	1.464788e-01
25	1.453970e-01	1.076969e-04	1.464740e-01
26	1.453992e-01	1.090781e-04	1.464900e-01
27	1.454025e-01	1.091033e-04	1.464935e-01
28	1.453973e-01	1.076235e-04	1.464735e-01
29	1.454098e-01	1.067978e-04	1.464777e-01
30	1.454033e-01	1.076129e-04	1.464794e-01
