RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.004271e+00	-1.289119e-01
2	-8.132502e-01	-1.881674e-01
3	-4.330291e-01	-3.123926e-01
4	-4.586364e-02	-4.129059e-01
5	3.540564e-01	-4.049068e-01
6	3.793717e-01	-3.835895e-01
7	3.793711e-01	-3.835884e-01
8	3.793699e-01	-3.835864e-01
9	3.793699e-01	-3.835864e-01
10	3.732102e-01	-3.888403e-01
11	3.636537e-01	-3.968974e-01
12	3.707312e-01	-3.910741e-01
13	3.707300e-01	-3.910725e-01
14	3.684796e-01	-3.929254e-01
15	3.660615e-01	-3.949033e-01
16	3.648552e-01	-3.958938e-01
17	3.660614e-01	-3.948961e-01
18	3.654583e-01	-3.953876e-01
19	3.660655e-01	-3.948862e-01
20	3.657671e-01	-3.951288e-01
21	3.660775e-01	-3.948722e-01
22	3.659345e-01	-3.949877e-01
23	3.661033e-01	-3.948481e-01
24	3.660411e-01	-3.948975e-01
25	3.661485e-01	-3.948087e-01
26	3.661260e-01	-3.948262e-01
27	3.662116e-01	-3.947554e-01
28	3.662077e-01	-3.947644e-01
29	3.662903e-01	-3.946907e-01
30	3.663755e-01	-3.946200e-01
