RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	7.848776e-01	1.000000e+00	1.220000e+00	1.220000e+00	-9.000000e-02	-9.000000e-02	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	5.691545e-01	1.000000e+00	3.002260e-01	-3.003686e-01	9.428866e-01	1.110881e-04	-2.998132e-01	-1.316679e-01	-4.713878e-01	2.793198e-01	-9.427756e-01	0.000000e+00	2.000000e+00
3	5.692231e-01	1.000000e+00	2.970516e-01	1.353653e-01	7.215303e-01	1.085895e-04	1.359082e-01	-1.473800e-01	-3.607109e-01	4.085820e-01	-7.214217e-01	0.000000e+00	2.000000e+00
4	5.691152e-01	1.000000e+00	2.892274e-01	1.435123e-01	8.143388e-01	1.085878e-04	1.440552e-01	-1.430618e-01	-4.071151e-01	3.514039e-01	-8.142302e-01	0.000000e+00	2.000000e+00
5	5.691643e-01	1.000000e+00	2.909053e-01	1.450212e-01	7.738979e-01	1.085884e-04	1.455642e-01	-1.453910e-01	-3.868947e-01	3.757896e-01	-7.737893e-01	0.000000e+00	2.000000e+00
6	5.691358e-01	1.000000e+00	2.898670e-01	1.453019e-01	7.912360e-01	1.085881e-04	1.458449e-01	-1.444736e-01	-3.955637e-01	3.652346e-01	-7.911274e-01	0.000000e+00	2.000000e+00
7	5.691645e-01	1.000000e+00	2.902559e-01	1.453540e-01	7.837501e-01	1.085882e-04	1.458969e-01	-1.448849e-01	-3.918207e-01	3.697734e-01	-7.836415e-01	0.000000e+00	2.000000e+00
8	5.691139e-01	1.000000e+00	2.900775e-01	1.453637e-01	7.869725e-01	1.085882e-04	1.459066e-01	-1.447107e-01	-3.934319e-01	3.678162e-01	-7.868639e-01	0.000000e+00	2.000000e+00
9	5.692245e-01	1.000000e+00	2.901523e-01	1.453655e-01	7.855835e-01	1.085882e-04	1.459084e-01	-1.447863e-01	-3.927375e-01	3.686592e-01	-7.854749e-01	0.000000e+00	2.000000e+00
