RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	6.125840e-01	1.000000e+00	4.500000e+00	4.500000e+00	2.500000e-01	2.500000e-01	7.000000e+00	2.250000e+00	-1.500000e+00	-1.500000e+00	1.500000e+00	0.000000e+00	-3.980000e+00
2	9.383632e-02	1.000000e+00	1.257359e+00	1.386039e+00	1.164214e+00	-1.500714e-01	1.386039e+00	6.286797e-01	-7.928932e-01	-7.928932e-01	-3.284271e-01	-4.440892e-14	-1.151573e+00
3	8.171286e-01	1.000000e+00	1.471862e-02	-4.779221e-01	1.078427e+00	-6.428499e-02	-4.779221e-01	7.359312e-03	-8.578643e-02	-8.578643e-02	-1.568542e-01	0.000000e+00	1.676854e+00
4	9.996684e-01	1.000000e+00	1.876414e-01	1.940547e-01	6.433995e-01	1.195301e-04	1.952500e-01	-8.093325e-02	-3.758687e-01	2.153232e-01	-4.691829e-01	0.000000e+00	5.165250e-01
5	-1.109841e+01	2.000000e+00	2.943642e-01	1.464864e-01	4.662965e-01	1.071887e-04	1.475583e-01	-1.468263e-01	-3.700733e-01	3.967492e-01	-4.662381e-01	0.000000e+00	5.397069e-01
6	-1.107924e+01	1.000000e+00	2.862403e-01	1.432834e-01	4.888573e-01	1.083493e-04	1.443669e-01						
7	-1.135416e+01	5.000000e-01	2.862407e-01	1.432836e-01	4.888569e-01	1.077284e-04	1.443608e-01						
8	-1.115347e+01	2.500000e-01	2.862353e-01	1.432808e-01	4.888631e-01	1.164441e-04	1.444453e-01						
9	-1.109480e+01	1.250000e-01	2.862392e-01	1.432828e-01	4.888586e-01	1.101211e-04	1.443840e-01						
10	-9.580727e+00	6.250000e-02	2.862404e-01	1.432834e-01	4.888572e-01	1.082326e-04	1.443657e-01						
11	-3.692734e+00	3.125000e-02	2.866911e-01	1.433187e-01	4.867360e-01	1.218151e-04	1.445368e-01						
12	-2.229808e+00	1.562500e-02	2.897682e-01	1.445593e-01	4.766239e-01	1.106430e-04	1.456657e-01						
13	-2.842430e+00	7.812500e-03	2.918643e-01	1.458254e-01	4.715031e-01	1.104256e-04	1.469296e-01						
