RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	7.835288e-01	-8.023833e-01
2	8.384533e-02	-8.793035e-02
3	4.336871e-01	-4.451568e-01
4	-8.967714e-03	-6.776579e-01
5	1.998858e-01	-5.336837e-01
6	3.086899e-01	-4.443074e-01
7	3.989962e-01	-3.578795e-01
8	3.547261e-01	-4.020354e-01
9	3.319041e-01	-4.233867e-01
10	3.557128e-01	-4.031453e-01
11	3.798392e-01	-3.832836e-01
12	3.554154e-01	-4.027784e-01
13	3.677391e-01	-3.931698e-01
14	3.557190e-01	-4.031531e-01
15	3.618156e-01	-3.982646e-01
16	3.558202e-01	-4.032744e-01
17	3.588500e-01	-4.008086e-01
18	3.618934e-01	-3.983581e-01
19	3.558222e-01	-4.032758e-01
20	3.588511e-01	-4.008100e-01
21	3.603627e-01	-3.995749e-01
22	3.611218e-01	-3.989645e-01
23	3.614971e-01	-3.986597e-01
24	3.616788e-01	-3.985108e-01
25	3.617609e-01	-3.984429e-01
26	3.617924e-01	-3.984164e-01
27	3.618021e-01	-3.984081e-01
28	3.618047e-01	-3.984058e-01
29	3.618054e-01	-3.984052e-01
30	3.618056e-01	-3.984051e-01
