RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.080087e+00	9.121781e-02	1.992265e+00
3	8.589283e-01	7.380331e-02	1.596961e+00
4	6.668590e-01	5.764868e-02	1.243346e+00
5	5.042483e-01	4.281883e-02	9.324366e-01
6	3.715044e-01	2.938858e-02	6.653902e-01
7	2.690766e-01	1.744504e-02	4.435270e-01
8	1.971010e-01	8.383441e-03	2.809355e-01
9	1.541505e-01	8.178133e-03	2.359318e-01
10	1.427279e-01	8.962427e-03	2.323521e-01
11	1.454845e-01	1.679050e-04	1.471635e-01
12	1.453552e-01	6.575484e-04	1.519307e-01
13	1.453543e-01	6.601191e-04	1.519555e-01
14	1.453525e-01	6.651895e-04	1.520044e-01
15	1.453561e-01	6.549729e-04	1.519058e-01
16	1.452884e-01	3.835831e-04	1.491242e-01
17	1.453449e-01	2.121634e-04	1.474665e-01
18	1.454108e-01	1.549404e-04	1.469602e-01
19	1.453646e-01	1.546014e-04	1.469106e-01
20	1.453500e-01	1.547022e-04	1.468971e-01
21	1.453643e-01	1.401261e-04	1.467655e-01
22	1.453741e-01	8.547769e-05	1.462289e-01
23	1.453655e-01	1.312312e-04	1.466778e-01
24	1.453731e-01	8.956753e-05	1.462687e-01
25	1.453613e-01	1.397368e-04	1.467586e-01
26	1.453699e-01	9.979949e-05	1.463679e-01
27	1.453657e-01	1.243423e-04	1.466091e-01
28	1.453709e-01	9.801044e-05	1.463510e-01
29	1.453672e-01	1.180344e-04	1.465476e-01
30	1.453704e-01	1.003132e-04	1.463736e-01
