RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.286797e-01	-7.500000e-01	6.286797e-01
3	1.571699e-01	-3.216993e-02	1.571699e-01
4	1.454893e-01	1.701797e-04	1.463402e-01
5	1.454242e-01	1.025951e-04	1.459371e-01
6	1.453529e-01	4.186013e-04	1.474459e-01
7	1.453529e-01	4.186043e-04	1.474459e-01
8	1.453523e-01	4.201594e-04	1.474531e-01
9	1.453531e-01	4.179816e-04	1.474430e-01
10	1.453532e-01	4.176429e-04	1.474414e-01
11	1.453513e-01	4.229947e-04	1.474663e-01
12	1.453513e-01	4.229656e-04	1.474662e-01
13	1.453520e-01	4.210926e-04	1.474575e-01
14	1.453502e-01	4.260987e-04	1.474807e-01
15	1.453192e-01	2.618064e-04	1.466282e-01
16	1.453473e-01	1.811946e-04	1.462532e-01
17	1.453814e-01	1.364146e-04	1.460634e-01
18	1.454011e-01	1.197325e-04	1.459997e-01
19	1.454112e-01	1.136339e-04	1.459794e-01
20	1.454161e-01	1.117242e-04	1.459747e-01
21	1.454181e-01	1.117145e-04	1.459766e-01
22	1.454211e-01	1.049121e-04	1.459457e-01
23	1.454214e-01	1.048406e-04	1.459456e-01
24	1.454190e-01	1.121251e-04	1.459796e-01
25	1.454190e-01	1.120967e-04	1.459795e-01
26	1.454215e-01	1.048163e-04	1.459456e-01
27	1.454190e-01	1.121332e-04	1.459797e-01
28	1.454190e-01	1.121110e-04	1.459796e-01
29	1.454190e-01	1.121110e-04	1.459796e-01
30	1.454190e-01	1.121110e-04	1.459796e-01
