RTO_iter	u1	u2
0	5.000000e-01	-1.500000e+00
1	6.961161e-01	-5.194193e-01
2	3.284197e-01	-4.268240e-01
3	3.859697e-01	-3.786480e-01
4	3.608982e-01	-3.991616e-01
5	3.716512e-01	-3.902789e-01
6	3.670089e-01	-3.940978e-01
7	3.690073e-01	-3.924509e-01
8	3.681460e-01	-3.931602e-01
9	3.685170e-01	-3.928545e-01
10	3.683572e-01	-3.929862e-01
11	3.684260e-01	-3.929294e-01
12	3.684261e-01	-3.929295e-01
13	3.683964e-01	-3.929539e-01
14	3.683939e-01	-3.929517e-01
15	3.683939e-01	-3.929517e-01
16	3.683950e-01	-3.929526e-01
17	3.683966e-01	-3.929541e-01
18	3.684078e-01	-3.929421e-01
19	3.684094e-01	-3.929435e-01
20	3.684094e-01	-3.929435e-01
21	3.684081e-01	-3.929424e-01
22	3.684071e-01	-3.929415e-01
23	3.684035e-01	-3.929382e-01
24	3.684094e-01	-3.929436e-01
25	3.683980e-01	-3.929428e-01
26	3.684043e-01	-3.929485e-01
27	3.684004e-01	-3.929408e-01
28	3.684063e-01	-3.929462e-01
29	3.684090e-01	-3.929486e-01
30	3.684053e-01	-3.929470e-01
