RTO_iter	cost	con	merit
1	1.750000e+00	-2.500000e-01	1.750000e+00
2	3.927979e-01	-4.651584e-01	3.927979e-01
3	1.498608e-01	1.110355e-04	1.509712e-01
4	1.462003e-01	1.086071e-04	1.472863e-01
5	1.455208e-01	1.086072e-04	1.466069e-01
6	1.453946e-01	1.086072e-04	1.464807e-01
7	1.453712e-01	1.086072e-04	1.464573e-01
8	1.453669e-01	1.086072e-04	1.464529e-01
9	1.453660e-01	1.086072e-04	1.464521e-01
10	1.453659e-01	1.086072e-04	1.464520e-01
11	1.453659e-01	1.086072e-04	1.464519e-01
12	1.453659e-01	1.086072e-04	1.464519e-01
13	1.453659e-01	1.086072e-04	1.464519e-01
14	1.453659e-01	1.086072e-04	1.464519e-01
15	1.453659e-01	1.086072e-04	1.464519e-01
16	1.453659e-01	1.086072e-04	1.464519e-01
17	1.453659e-01	1.086072e-04	1.464519e-01
18	1.453659e-01	1.086072e-04	1.464519e-01
19	1.453659e-01	1.086072e-04	1.464519e-01
20	1.453659e-01	1.086072e-04	1.464519e-01
21	1.453659e-01	1.086072e-04	1.464519e-01
22	1.453659e-01	1.086072e-04	1.464519e-01
23	1.453659e-01	1.086072e-04	1.464519e-01
24	1.453659e-01	1.083511e-04	1.464495e-01
25	1.453659e-01	1.083511e-04	1.464495e-01
26	1.453659e-01	1.083511e-04	1.464495e-01
27	1.453659e-01	1.083511e-04	1.464495e-01
28	1.453659e-01	1.083511e-04	1.464495e-01
29	1.453659e-01	1.083511e-04	1.464495e-01
30	1.453659e-01	1.086072e-04	1.464519e-01
