RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.290459e-01	-7.444765e-01	6.290459e-01
3	7.389237e-03	7.480257e-01	3.747518e+00
4	1.931903e-01	-1.258361e-01	1.931903e-01
5	4.653765e-01	1.128735e-01	1.029744e+00
6	2.180967e-01	1.756525e-02	3.059229e-01
7	1.555510e-01	9.343948e-05	1.560182e-01
8	1.444814e-01	1.332467e-02	2.111047e-01
9	1.448506e-01	2.836492e-03	1.590331e-01
10	1.488979e-01	5.675779e-04	1.517358e-01
11	1.456540e-01	5.231443e-04	1.482697e-01
12	1.455977e-01	4.999137e-04	1.480973e-01
13	1.453973e-01	1.258181e-03	1.516882e-01
14	1.452307e-01	5.036280e-04	1.477488e-01
15	1.456586e-01	5.098420e-04	1.482078e-01
16	1.454255e-01	2.742465e-04	1.467968e-01
17	1.457421e-01	2.708190e-04	1.470962e-01
18	1.455896e-01	1.843353e-04	1.465112e-01
19	1.454943e-01	7.600706e-05	1.458743e-01
20	1.457448e-01	2.630295e-04	1.470599e-01
21	1.453664e-01	1.091555e-04	1.459122e-01
22	1.456624e-01	4.986092e-04	1.481555e-01
23	1.454282e-01	2.666902e-04	1.467616e-01
24	1.453747e-01	1.815870e-04	1.462826e-01
25	1.453674e-01	1.366241e-04	1.460505e-01
26	1.453664e-01	1.198693e-04	1.459657e-01
27	1.453663e-01	1.137611e-04	1.459351e-01
28	1.453661e-01	1.118786e-04	1.459255e-01
29	1.453658e-01	1.120636e-04	1.459261e-01
30	1.453680e-01	1.051089e-04	1.458936e-01
