RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	1.429289e+00	-1.429289e+00
2	1.287868e+00	-1.287868e+00
3	1.005025e+00	-1.005025e+00
4	7.221825e-01	-7.221825e-01
5	4.393398e-01	-4.393398e-01
6	3.772345e-01	-3.811709e-01
7	3.772349e-01	-3.811715e-01
8	3.772348e-01	-3.811713e-01
9	4.039844e-01	-4.039844e-01
10	3.643715e-01	-3.963080e-01
11	3.700906e-01	-3.915985e-01
12	3.700878e-01	-3.915934e-01
13	3.700912e-01	-3.915996e-01
14	3.700899e-01	-3.915973e-01
15	3.700908e-01	-3.915993e-01
16	3.691942e-01	-3.923333e-01
17	3.667775e-01	-3.943119e-01
18	3.679283e-01	-3.933441e-01
19	3.668868e-01	-3.941739e-01
20	3.677979e-01	-3.934545e-01
21	3.670063e-01	-3.940824e-01
22	3.676963e-01	-3.935356e-01
23	3.670976e-01	-3.940166e-01
24	3.676209e-01	-3.935934e-01
25	3.671608e-01	-3.939637e-01
26	3.675645e-01	-3.936404e-01
27	3.672109e-01	-3.939222e-01
28	3.675196e-01	-3.936762e-01
29	3.672501e-01	-3.938909e-01
30	3.674854e-01	-3.937035e-01
