RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.685591e-01	1.084868e-04	1.696440e-01
3	1.339852e+00	1.085912e-04	1.340938e+00
4	3.760641e-01	1.098249e-04	3.771624e-01
5	1.732172e-01	1.072848e-04	1.742901e-01
6	1.454306e-01	1.085895e-04	1.465165e-01
7	1.685579e-01	1.115745e-04	1.696737e-01
8	1.505368e-01	1.086604e-04	1.516234e-01
9	1.463821e-01	1.084740e-04	1.474669e-01
10	1.455067e-01	1.108839e-04	1.466156e-01
11	1.453670e-01	1.160813e-04	1.465278e-01
12	1.453739e-01	1.125279e-04	1.464992e-01
13	1.453649e-01	1.222302e-04	1.465872e-01
14	1.453669e-01	1.065498e-04	1.464324e-01
15	1.453703e-01	1.065490e-04	1.464358e-01
16	1.453666e-01	1.077287e-04	1.464439e-01
17	1.453664e-01	1.071527e-04	1.464379e-01
18	1.453662e-01	1.078303e-04	1.464445e-01
19	1.453657e-01	1.093262e-04	1.464590e-01
20	1.453654e-01	1.105352e-04	1.464707e-01
21	1.453652e-01	1.110817e-04	1.464760e-01
22	1.453652e-01	1.112197e-04	1.464773e-01
23	1.453677e-01	1.036841e-04	1.464046e-01
24	1.453651e-01	1.110552e-04	1.464757e-01
25	1.453651e-01	1.110983e-04	1.464761e-01
26	1.453651e-01	1.110957e-04	1.464761e-01
27	1.453651e-01	1.110768e-04	1.464759e-01
28	1.453651e-01	1.110984e-04	1.464761e-01
29	1.453651e-01	1.110775e-04	1.464759e-01
30	1.453651e-01	1.110775e-04	1.464759e-01
