RTO_iter	cost	con
1	3.000000e+00	-2.000000e+00
2	1.000000e+00	-1.000000e+00
3	7.515005e-01	9.245520e-09
4	6.795517e-01	-7.195779e-01
5	7.514999e-01	9.767104e-09
6	2.313602e-01	-2.070925e-01
7	3.117899e-01	7.604954e-09
8	2.302298e-01	6.818073e-09
9	1.594190e-01	-2.945271e-02
10	1.557040e-01	-3.468701e-09
11	1.487532e-01	5.163798e-09
12	1.557040e-01	-4.437895e-09
13	1.458875e-01	4.317454e-10
14	1.487532e-01	7.938817e-09
15	1.457230e-01	3.613198e-09
16	1.458875e-01	1.953630e-09
17	1.454075e-01	2.493461e-09
18	1.457230e-01	3.311457e-09
19	1.454656e-01	3.096444e-09
20	1.454117e-01	2.984903e-09
21	1.454034e-01	7.434264e-09
22	1.454117e-01	2.941153e-09
23	1.454060e-01	2.912506e-09
24	1.454043e-01	2.898208e-09
25	1.454061e-01	2.901676e-09
