RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.445903e+00	1.000000e+00	4.500000e+00	4.500000e+00	-2.750000e+00	-2.750000e+00	4.500000e+00	-2.250000e+00	-1.500000e+00	1.500000e+00	1.500000e+00	-2.220446e-14	-3.980000e+00
2	1.500000e+00	2.000000e+00	1.257359e+00	1.128680e+00	-4.215729e-01	-1.735858e+00	1.128680e+00	-6.286797e-01	-7.928932e-01	7.928932e-01	-3.284271e-01	0.000000e+00	-1.151573e+00
3	9.871903e-01	4.000000e+00	3.143398e-01	3.143398e-01	4.463835e-01	-3.385808e-01	3.143398e-01	-1.571699e-01	-3.964466e-01	3.964466e-01	-4.785534e-01	0.000000e+00	4.342135e-01
4	5.490625e-01	4.000000e+00	2.895496e-01	1.454018e-01	4.797376e-01	1.083469e-04	1.455101e-01	-1.440603e-01	-3.989243e-01	3.611218e-01	-4.795674e-01	0.000000e+00	4.243026e-01
5	-1.586912e+00	4.000000e+00	2.905835e-01	1.453094e-01	4.755585e-01	1.083478e-04	1.454177e-01	-1.451594e-01	-3.892208e-01	3.729487e-01	-4.754559e-01	0.000000e+00	4.631169e-01
6	-1.586945e+00	2.000000e+00	2.894649e-01	1.452642e-01	4.794642e-01	1.083473e-04	1.453725e-01						
7	-1.604588e+00	1.000000e+00	2.894649e-01	1.452642e-01	4.794642e-01	1.083504e-04	1.453725e-01						
8	-1.579950e+00	5.000000e-01	2.894639e-01	1.452636e-01	4.794654e-01	1.099537e-04	1.453736e-01						
9	-1.576160e+00	2.500000e-01	2.894654e-01	1.452644e-01	4.794638e-01	1.077085e-04	1.453721e-01						
10	-1.637395e+00	1.250000e-01	2.894656e-01	1.452645e-01	4.794635e-01	1.073593e-04	1.453719e-01						
11	-1.637055e+00	6.250000e-02	2.894619e-01	1.452627e-01	4.794676e-01	1.128769e-04	1.453755e-01						
12	-1.615297e+00	3.125000e-02	2.894620e-01	1.452627e-01	4.794676e-01	1.128472e-04	1.453755e-01						
13	-1.674346e+00	1.562500e-02	2.894632e-01	1.452633e-01	4.794661e-01	1.109174e-04	1.453742e-01						
14	-4.489991e-01	7.812500e-03	2.894599e-01	1.452616e-01	4.794698e-01	1.160984e-04	1.453777e-01						
15	-2.578151e-02	3.906250e-03	2.898956e-01	1.452894e-01	4.778335e-01	1.164838e-04	1.454059e-01						
16	2.340886e-01	1.953125e-03	2.902209e-01	1.453398e-01	4.767061e-01	1.205075e-04	1.454603e-01						
17	3.964740e-01	1.953125e-03	2.904009e-01	1.453795e-01	4.761312e-01	1.089675e-04	1.454885e-01	-1.450196e-01	-3.904436e-01	3.714226e-01	-4.759948e-01	0.000000e+00	4.582256e-01
18	1.743405e-01	1.953125e-03	2.902520e-01	1.453611e-01	4.766710e-01	1.072780e-04	1.454684e-01	-1.448889e-01	-3.916851e-01	3.699118e-01	-4.765358e-01	0.000000e+00	4.532595e-01
19	-2.609959e-01	1.953125e-03	2.901119e-01	1.453548e-01	4.772062e-01	1.072781e-04	1.454621e-01	-1.447552e-01	-3.929275e-01	3.684018e-01	-4.770709e-01	0.000000e+00	4.482901e-01
20	3.752457e-01	9.765625e-04	2.899816e-01	1.453610e-01	4.777357e-01	1.072879e-04	1.454683e-01						
21	2.302391e-01	9.765625e-04	2.900556e-01	1.453629e-01	4.774606e-01	1.067413e-04	1.454697e-01	-1.446922e-01	-3.935585e-01	3.676511e-01	-4.773404e-01	0.000000e+00	4.457659e-01
22	2.107495e+00	9.765625e-04	2.900170e-01	1.453691e-01	4.776368e-01	1.024243e-04	1.454715e-01	-1.446478e-01	-3.939937e-01	3.671322e-01	-4.775253e-01	0.000000e+00	4.440253e-01
23	1.878675e+00	1.953125e-03	2.900672e-01	1.453721e-01	4.774633e-01	1.024319e-04	1.454745e-01	-1.446949e-01	-3.936233e-01	3.675975e-01	-4.773680e-01	0.000000e+00	4.455070e-01
24	-3.064006e-01	3.906250e-03	2.900205e-01	1.453679e-01	4.776177e-01	1.072708e-04	1.454752e-01	-1.446524e-01	-3.939431e-01	3.671911e-01	-4.775039e-01	0.000000e+00	4.442278e-01
25	2.341049e+00	1.953125e-03	2.900494e-01	1.453656e-01	4.774967e-01	1.205079e-04	1.454861e-01						
26	1.423185e+00	3.906250e-03	2.900576e-01	1.453699e-01	4.774875e-01	1.080835e-04	1.454780e-01	-1.446877e-01	-3.936628e-01	3.675421e-01	-4.773848e-01	0.000000e+00	4.453486e-01
27	1.674156e+00	7.812500e-03	2.900164e-01	1.453637e-01	4.776109e-01	1.205081e-04	1.454842e-01	-1.446526e-01	-3.939000e-01	3.672318e-01	-4.774856e-01	0.000000e+00	4.444000e-01
28	-2.601929e+00	1.562500e-02	2.900474e-01	1.453667e-01	4.775098e-01	1.164859e-04	1.454832e-01	-1.446806e-01	-3.936925e-01	3.674964e-01	-4.773974e-01	0.000000e+00	4.452302e-01
29	1.702241e+00	7.812500e-03	2.900266e-01	1.453672e-01	4.775908e-01	1.109265e-04	1.454782e-01						
30		1.562500e-02	2.900201e-01	1.453640e-01	4.775980e-01	1.205314e-04	1.454845e-01	-1.446561e-01	-3.938723e-01	3.672666e-01	-4.774738e-01	0.000000e+00	4.445110e-01
