RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.367610e-01	2.000000e-01	-1.220000e+00	-1.220000e+00	-9.000000e-02	-9.000000e-02	-1.220000e+00	2.550000e+00	4.520000e+00	1.520000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	5.981680e-01	4.000000e-01	-8.953444e-01	7.641528e-01	5.492138e-02	1.157587e-04	7.653104e-01	1.764770e+00	3.775915e+00	8.562183e-01	-5.480562e-02	0.000000e+00	2.000000e+00
3	2.069911e-01	4.000000e-01	-4.096043e-01	-1.257172e-01	4.524427e-01	1.076585e-04	-1.246407e-01	6.838001e-01	2.188669e+00	-2.859609e-01	-4.523350e-01	-5.551115e-15	2.000000e+00
4	-3.818644e-01	4.000000e-01	-2.995844e-01	-2.409579e-01	9.392021e-01	1.136744e-04	-2.398211e-01	4.671002e-01	6.755344e-01	-1.576907e+00	-9.390884e-01	0.000000e+00	2.000000e+00
5	1.026326e-01	2.000000e-01	-4.096007e-01	-1.118472e-01	4.524435e-01	1.137060e-04	-1.107101e-01						
6	-1.135137e-01	2.000000e-01	-3.048542e-01	6.273300e-02	6.818145e-01	1.094672e-04	6.382767e-02	4.616537e-01	1.416611e+00	-9.090442e-01	-6.817051e-01	0.000000e+00	2.000000e+00
7	2.840152e-01	1.000000e-01	-2.995859e-01	6.217862e-02	9.392022e-01	1.115848e-04	6.329447e-02						
8	-1.002772e+00	1.000000e-01	-2.893495e-01	1.180963e-01	8.063881e-01	1.133306e-04	1.192296e-01	4.351290e-01	1.041389e+00	-1.236418e+00	-8.062748e-01	0.000000e+00	2.000000e+00
9	-4.186752e-01	5.000000e-02	-3.048498e-01	1.347348e-01	6.818149e-01	1.162011e-04	1.358968e-01						
10	2.328628e-01	2.500000e-02	-2.939547e-01	1.424322e-01	7.431607e-01	1.084737e-04	1.435170e-01						
11	-1.020019e-01	2.500000e-02	-2.908540e-01	1.446437e-01	7.745303e-01	1.157171e-04	1.458009e-01	4.363508e-01	1.134389e+00	-1.153430e+00	-7.744146e-01	0.000000e+00	2.000000e+00
12	1.288871e-01	1.250000e-02	-2.893531e-01	1.435204e-01	8.063881e-01	1.081857e-04	1.446022e-01						
13	-1.164955e+00	1.250000e-02	-2.899009e-01	1.446417e-01	7.903972e-01	1.161572e-04	1.458032e-01	4.352836e-01	1.087815e+00	-1.194823e+00	-7.902811e-01	0.000000e+00	2.000000e+00
14	-6.029362e-01	6.250000e-03	-2.893473e-01	1.450370e-01	8.063887e-01	1.164781e-04	1.462018e-01						
15	-1.696161e-01	3.125000e-03	-2.895764e-01	1.452446e-01	7.983779e-01	1.129147e-04	1.463737e-01						
16	5.605204e-01	1.562500e-03	-2.897275e-01	1.453227e-01	7.943850e-01	1.125479e-04	1.464482e-01						
17	-1.172374e+00	1.562500e-03	-2.898158e-01	1.453572e-01	7.923930e-01	1.072849e-04	1.464300e-01	4.352232e-01	1.082002e+00	-1.200035e+00	-7.922857e-01	0.000000e+00	2.000000e+00
18	-8.444949e-01	7.812500e-04	-2.897310e-01	1.453869e-01	7.943908e-01	1.070221e-04	1.464571e-01						
19	-5.748189e+00	3.906250e-04	-2.897725e-01	1.453977e-01	7.933976e-01	1.069699e-04	1.464674e-01						
20	-2.000000e+00	1.953125e-04	-2.897931e-01	1.454024e-01	7.929071e-01	1.076111e-04	1.464785e-01						
21	-2.000000e+00	9.765625e-05	-2.898023e-01	1.454041e-01	7.926727e-01	1.090616e-04	1.464948e-01						
22	-2.000000e+00	4.882813e-05	-2.898058e-01	1.454046e-01	7.925711e-01	1.104514e-04	1.465091e-01						
23	-2.000000e+00	2.441406e-05	-2.898070e-01	1.454048e-01	7.925347e-01	1.110630e-04	1.465154e-01						
24	9.198496e-01	1.220703e-05	-2.898073e-01	1.454048e-01	7.925241e-01	1.112931e-04	1.465177e-01						
25	-3.814586e-01	2.441406e-05	-2.898126e-01	1.454074e-01	7.925211e-01	1.037112e-04	1.464445e-01	4.352229e-01	1.081632e+00	-1.200375e+00	-7.924174e-01	0.000000e+00	2.000000e+00
26	-4.884832e-01	1.220703e-05	-2.898069e-01	1.454091e-01	7.926522e-01	1.036152e-04	1.464453e-01						
27	-5.192604e-01	6.103516e-06	-2.898070e-01	1.454091e-01	7.926494e-01	1.036327e-04	1.464455e-01						
28	-2.000000e+00	3.051758e-06	-2.898071e-01	1.454091e-01	7.926487e-01	1.036371e-04	1.464455e-01						
29	-5.292697e-01	1.525879e-06	-2.898019e-01	1.454066e-01	7.926485e-01	1.111051e-04	1.465176e-01						
30		7.629395e-07	-2.898071e-01	1.454091e-01	7.926484e-01	1.036385e-04	1.464455e-01						
