RTO_iter	cost	con
1	9.750000e+00	-1.250000e+00
2	5.706583e+00	-1.150000e+00
3	1.426646e+00	-1.015899e+00
4	3.566615e-01	-4.316615e-01
5	1.239080e-01	6.635559e-02
6	1.239080e-01	6.635564e-02
7	1.239080e-01	6.635564e-02
8	1.239080e-01	6.635560e-02
9	1.762641e-01	-8.201243e-02
10	1.453269e-01	3.054799e-04
11	1.453269e-01	3.054800e-04
12	1.453269e-01	3.054806e-04
13	1.452946e-01	3.541196e-04
14	1.581888e-01	-3.376481e-02
15	1.456384e-01	3.816611e-04
16	1.454378e-01	-3.314971e-05
17	1.453918e-01	1.906668e-04
18	1.453918e-01	1.906663e-04
19	1.453918e-01	1.906621e-04
20	1.453797e-01	1.452012e-04
21	1.453824e-01	6.057233e-05
22	1.453993e-01	2.716322e-05
23	1.454115e-01	1.272233e-05
24	1.454186e-01	6.113344e-06
25	1.454222e-01	3.024686e-06
