RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.290459e-01	-7.444765e-01	6.290459e-01
3	7.389237e-03	7.480257e-01	7.487646e+00
4	1.931903e-01	-1.258361e-01	1.931903e-01
5	4.653765e-01	1.128735e-01	1.594112e+00
6	2.180967e-01	1.756517e-02	3.937485e-01
7	1.555475e-01	1.001590e-04	1.565491e-01
8	1.444824e-01	1.332342e-02	2.777167e-01
9	1.448489e-01	2.840969e-03	1.732586e-01
10	1.488981e-01	5.651140e-04	1.545493e-01
11	1.456537e-01	5.232199e-04	1.508859e-01
12	1.455979e-01	4.999096e-04	1.505970e-01
13	1.453970e-01	1.258177e-03	1.579788e-01
14	1.452307e-01	5.036539e-04	1.502672e-01
15	1.456583e-01	5.101122e-04	1.507594e-01
16	1.454269e-01	2.699304e-04	1.481262e-01
17	1.457445e-01	2.632592e-04	1.483771e-01
18	1.455945e-01	1.695010e-04	1.472896e-01
19	1.454910e-01	8.514958e-05	1.463425e-01
20	1.457445e-01	2.632090e-04	1.483766e-01
21	1.455955e-01	1.668193e-04	1.472637e-01
22	1.455342e-01	1.341763e-04	1.468760e-01
23	1.455073e-01	1.206566e-04	1.467139e-01
24	1.454969e-01	1.089393e-04	1.465863e-01
25	1.454894e-01	1.108096e-04	1.465975e-01
26	1.454865e-01	1.105692e-04	1.465922e-01
27	1.454875e-01	1.044582e-04	1.465321e-01
28	1.454848e-01	1.110491e-04	1.465953e-01
29	1.454847e-01	1.111575e-04	1.465963e-01
30	1.454847e-01	1.111711e-04	1.465964e-01
