RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	6.654181e-01	-1.472621e-01
2	2.325883e-01	-3.975787e-01
3	4.602556e-01	-2.901200e-01
4	2.618357e-01	-4.422040e-01
5	3.707263e-01	-3.773525e-01
6	2.766959e-01	-4.597133e-01
7	3.279528e-01	-4.229232e-01
8	3.770006e-01	-3.841859e-01
9	3.284369e-01	-4.235284e-01
10	3.533076e-01	-4.045627e-01
11	3.777475e-01	-3.850882e-01
12	3.533420e-01	-4.046058e-01
13	3.656535e-01	-3.949817e-01
14	3.717833e-01	-3.901351e-01
15	3.657524e-01	-3.951024e-01
16	3.597401e-01	-4.000920e-01
17	3.627782e-01	-3.976366e-01
18	3.597746e-01	-4.001358e-01
19	3.612886e-01	-3.989034e-01
20	3.628121e-01	-3.976790e-01
21	3.597745e-01	-4.001369e-01
22	3.612882e-01	-3.989045e-01
23	3.620432e-01	-3.982890e-01
24	3.624177e-01	-3.979834e-01
25	3.625996e-01	-3.978349e-01
