RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	5.166557e-01	1.000000e+00	-1.200000e+00	-1.200000e+00	2.110000e+00	2.110000e+00	9.100000e-01	2.530000e+00	-4.480000e+00	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	5.868849e-02	1.000000e+00	-9.638794e-03	-2.026097e+00	1.103359e+00	1.044501e+00	-9.815960e-01	2.402600e-02	-4.194020e-01	-1.024932e-01	-5.885811e-02	0.000000e+00	2.000000e+00
3	2.620525e-01	1.000000e+00	-8.041246e-01	-1.203117e+00	1.033047e-01	1.210146e-01	-1.082102e+00	1.616347e+00	3.615950e+00	8.967737e-01	1.770986e-02	-4.107825e-15	2.000000e+00
4	-3.974071e-01	1.000000e+00	3.868937e-01	-1.338848e+00	1.272005e+00	1.087966e-04	-1.338740e+00	-4.914267e-02	-8.624839e-02	1.324249e-01	-1.271896e+00	0.000000e+00	2.000000e+00
5	1.413757e-01	5.000000e-01	-1.064518e+00	-1.162338e+00	4.276293e-02	-7.068854e-01	-1.162338e+00						
6	-1.888691e-01	5.000000e-01	-1.688997e-01	-2.245417e-01	5.863454e-01	-2.105688e-01	-2.245417e-01	4.272496e-01	1.911234e+00	5.724227e-01	-7.969142e-01	0.000000e+00	2.000000e+00
7	4.416287e-01	2.500000e-01	3.868916e-01	-1.627434e-01	1.272004e+00	1.111200e-04	-1.626322e-01						
8	-1.067963e+00	2.500000e-01	7.987841e-02	1.498623e-02	8.606934e-01	1.091560e-04	1.509538e-02	7.093416e-02	8.875394e-01	3.244579e-01	-8.605843e-01	0.000000e+00	2.000000e+00
9	-8.494194e-02	1.250000e-01	-1.957754e-01	1.002836e-01	5.547166e-01	1.136156e-04	1.003972e-01						
10	4.949913e-01	6.250000e-02	-5.411582e-02	1.283084e-01	7.021115e-01	1.200874e-04	1.284285e-01						
11	-2.681756e+00	6.250000e-02	1.352218e-02	1.398846e-01	7.798712e-01	1.072042e-04	1.399918e-01	1.318821e-01	1.118665e+00	3.721368e-01	-7.797640e-01	0.000000e+00	2.000000e+00
12	-1.094797e+00	3.125000e-02	7.987849e-02	1.433862e-01	8.606934e-01	1.081921e-04	1.434943e-01						
13	-3.205587e-01	1.562500e-02	4.681269e-02	1.443919e-01	8.198783e-01	1.107262e-04	1.445026e-01						
14	6.178588e-02	7.812500e-03	3.020105e-02	1.449021e-01	7.997765e-01	1.162599e-04	1.450184e-01						
15	-3.493288e+00	7.812500e-03	2.187056e-02	1.451526e-01	7.898002e-01	1.205321e-04	1.452732e-01	1.235057e-01	1.089553e+00	3.660983e-01	-7.896797e-01	0.000000e+00	2.000000e+00
16	-2.724399e+00	3.906250e-03	3.020156e-02	1.453308e-01	7.997772e-01	1.164883e-04	1.454473e-01						
17	-9.013579e-01	1.953125e-03	2.603890e-02	1.453535e-01	7.947836e-01	1.203059e-04	1.454738e-01						
18	-1.438660e-01	9.765625e-04	2.395822e-02	1.453693e-01	7.922923e-01	1.083280e-04	1.454776e-01						
19	2.985742e-01	4.882812e-04	2.291934e-02	1.453755e-01	7.910507e-01	1.067450e-04	1.454823e-01						
20	-2.911828e+00	4.882812e-04	2.240321e-02	1.453781e-01	7.904344e-01	1.073354e-04	1.454854e-01	1.229829e-01	1.087716e+00	3.657198e-01	-7.903270e-01	0.000000e+00	2.000000e+00
21	-3.892457e+00	2.441406e-04	2.293449e-02	1.453841e-01	7.910688e-01	1.072795e-04	1.454913e-01						
22	-2.000000e+00	1.220703e-04	2.268402e-02	1.453846e-01	7.907698e-01	1.085424e-04	1.454931e-01						
23	-2.000000e+00	6.103516e-05	2.257072e-02	1.453845e-01	7.906347e-01	1.100625e-04	1.454945e-01						
24	4.299369e-01	3.051758e-05	2.252724e-02	1.453843e-01	7.905829e-01	1.109417e-04	1.454953e-01						
25	-2.000000e+00	3.051758e-05	2.251445e-02	1.453869e-01	7.905667e-01	1.036761e-04	1.454906e-01	1.228741e-01	1.087333e+00	3.656412e-01	-7.904631e-01	0.000000e+00	2.000000e+00
26	-2.000000e+00	1.525879e-05	2.262499e-02	1.453855e-01	7.906997e-01	1.110624e-04	1.454966e-01						
27	-2.000000e+00	7.629395e-06	2.262090e-02	1.453855e-01	7.906948e-01	1.111068e-04	1.454966e-01						
28	-2.000000e+00	3.814697e-06	2.261997e-02	1.453855e-01	7.906937e-01	1.111067e-04	1.454966e-01						
29	-2.000000e+00	1.907349e-06	2.261974e-02	1.453855e-01	7.906934e-01	1.111263e-04	1.454967e-01						
30		9.536743e-07	2.261968e-02	1.453855e-01	7.906933e-01	1.111198e-04	1.454966e-01						
