RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	2.042888e+00	-1.243248e+00	2.042888e+00
3	1.658667e+00	-1.200837e+00	1.658667e+00
4	1.314439e+00	-1.119870e+00	1.314439e+00
5	1.010202e+00	-9.999847e-01	1.010202e+00
6	7.459569e-01	-8.408694e-01	7.459569e-01
7	5.217032e-01	-6.422660e-01	5.217032e-01
8	3.374425e-01	-4.039678e-01	3.374425e-01
9	1.931762e-01	-1.258197e-01	1.931762e-01
10	1.932892e-01	1.111267e-04	1.944005e-01
11	1.482673e-01	1.206137e-04	1.494734e-01
12	1.507943e-01	1.115769e-04	1.519101e-01
13	1.454664e-01	1.079525e-04	1.465460e-01
14	1.482689e-01	1.161816e-04	1.494307e-01
15	1.458459e-01	1.084419e-04	1.469304e-01
16	1.454003e-01	1.108702e-04	1.465090e-01
17	1.458450e-01	1.112071e-04	1.469571e-01
18	1.455571e-01	1.160766e-04	1.467179e-01
19	1.454631e-01	1.124707e-04	1.465879e-01
20	1.454301e-01	1.049794e-04	1.464799e-01
21	1.454660e-01	1.045847e-04	1.465118e-01
22	1.454460e-01	1.082039e-04	1.465280e-01
23	1.454379e-01	1.068806e-04	1.465067e-01
24	1.454337e-01	1.077767e-04	1.465114e-01
25	1.454315e-01	1.092491e-04	1.465240e-01
26	1.454305e-01	1.105116e-04	1.465356e-01
27	1.454301e-01	1.109834e-04	1.465400e-01
28	1.454300e-01	1.111714e-04	1.465417e-01
29	1.454326e-01	1.036632e-04	1.464692e-01
30	1.454321e-01	1.111331e-04	1.465434e-01
