RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.003048e+00	-1.245031e-01
2	-8.076188e-01	-1.670152e-01
3	-4.120949e-01	-2.266883e-01
4	-1.470746e-02	-2.723303e-01
5	3.717364e-01	-3.152576e-01
6	3.477762e-01	-4.101754e-01
7	3.773795e-01	-3.856002e-01
8	3.645554e-01	-3.961266e-01
9	3.700677e-01	-3.915796e-01
10	3.676902e-01	-3.935365e-01
11	3.687141e-01	-3.926930e-01
12	3.682729e-01	-3.930563e-01
13	3.684630e-01	-3.928998e-01
14	3.683811e-01	-3.929672e-01
15	3.683782e-01	-3.929646e-01
16	3.683793e-01	-3.929656e-01
17	3.683808e-01	-3.929670e-01
18	3.683808e-01	-3.929670e-01
19	3.683794e-01	-3.929657e-01
20	3.683810e-01	-3.929671e-01
21	3.683750e-01	-3.929617e-01
22	3.683810e-01	-3.929670e-01
23	3.683815e-01	-3.929671e-01
24	3.684160e-01	-3.929381e-01
25	3.684162e-01	-3.929385e-01
26	3.684160e-01	-3.929389e-01
27	3.684016e-01	-3.929505e-01
28	3.684019e-01	-3.929505e-01
29	3.684018e-01	-3.929497e-01
30	3.684019e-01	-3.929483e-01
