RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02
2	-1.760938e+02	-1.157802e-02	1.631799e-01	4.042612e-01	2.381527e-01	9.626901e-02	6.842198e-02
3	-1.951077e+02	-5.044387e-03	1.509032e-01	3.998018e-01	2.479650e-01	9.899732e-02	7.495561e-02
4	-2.020465e+02	-1.466090e-03	1.443170e-01	3.977441e-01	2.529943e-01	1.003192e-01	7.853391e-02
5	-2.040876e+02	-3.678317e-04	1.406168e-01	3.988951e-01	2.546807e-01	1.007963e-01	7.963217e-02
6	-2.047470e+02	-1.576351e-04	1.388696e-01	4.003404e-01	2.550222e-01	1.008970e-01	7.984236e-02
7	-2.051341e+02	-1.183085e-04	1.381251e-01	4.012825e-01	2.549883e-01	1.008669e-01	7.988169e-02
8	-2.054624e+02	-1.040969e-04	1.377372e-01	4.019546e-01	2.548655e-01	1.008008e-01	7.989590e-02
9	-2.057632e+02	-9.438739e-05	1.374592e-01	4.025254e-01	2.547252e-01	1.007274e-01	7.990561e-02
10	-2.060425e+02	-8.622035e-05	1.372180e-01	4.030527e-01	2.545846e-01	1.006544e-01	7.991378e-02
11	-2.063026e+02	-7.899072e-05	1.369932e-01	4.035537e-01	2.544478e-01	1.005836e-01	7.992101e-02
12	-2.065453e+02	-7.249700e-05	1.367791e-01	4.040338e-01	2.543159e-01	1.005154e-01	7.992750e-02
13	-2.067719e+02	-6.663176e-05	1.365737e-01	4.044953e-01	2.541887e-01	1.004499e-01	7.993337e-02
14	-2.069836e+02	-6.131786e-05	1.363762e-01	4.049395e-01	2.540663e-01	1.003869e-01	7.993868e-02
15	-2.071816e+02	-5.649246e-05	1.361860e-01	4.053674e-01	2.539483e-01	1.003263e-01	7.994351e-02
16	-2.073669e+02	-5.210196e-05	1.360027e-01	4.057797e-01	2.538346e-01	1.002680e-01	7.994790e-02
17	-2.075405e+02	-4.809992e-05	1.358260e-01	4.061773e-01	2.537249e-01	1.002118e-01	7.995190e-02
18	-2.077031e+02	-4.444580e-05	1.356555e-01	4.065608e-01	2.536191e-01	1.001577e-01	7.995555e-02
19	-2.078556e+02	-4.110402e-05	1.354909e-01	4.069310e-01	2.535169e-01	1.001055e-01	7.995890e-02
20	-2.079987e+02	-3.804329e-05	1.353321e-01	4.072884e-01	2.534183e-01	1.000552e-01	7.996196e-02
21	-2.081330e+02	-3.523598e-05	1.351787e-01	4.076336e-01	2.533230e-01	1.000066e-01	7.996476e-02
22	-2.082591e+02	-3.265745e-05	1.350304e-01	4.079672e-01	2.532310e-01	9.995970e-02	7.996734e-02
23	-2.083777e+02	-3.028642e-05	1.348870e-01	4.082896e-01	2.531419e-01	9.991440e-02	7.996971e-02
24	-2.084891e+02	-2.810337e-05	1.347484e-01	4.086014e-01	2.530559e-01	9.987064e-02	7.997190e-02
25	-2.085939e+02	-2.609109e-05	1.346143e-01	4.089030e-01	2.529726e-01	9.982833e-02	7.997391e-02
26	-2.086924e+02	-2.423420e-05	1.344846e-01	4.091949e-01	2.528920e-01	9.978741e-02	7.997577e-02
27	-2.087852e+02	-2.251894e-05	1.343590e-01	4.094774e-01	2.528140e-01	9.974783e-02	7.997748e-02
28	-2.088726e+02	-2.093295e-05	1.342374e-01	4.097510e-01	2.527384e-01	9.970953e-02	7.997907e-02
29	-2.089549e+02	-1.946514e-05	1.341196e-01	4.100159e-01	2.526653e-01	9.967246e-02	7.998053e-02
