RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	4.751517e-01	1.000000e+00	-1.220000e+00	-1.220000e+00	-9.000000e-02	-9.000000e-02	-1.220000e+00	2.550000e+00	4.520000e+00	1.520000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	-9.356627e-01	1.000000e+00	-3.002280e-01	-2.328210e+00	9.428870e-01	1.084972e-04	-2.327125e+00	4.687871e-01	6.658940e-01	-1.586236e+00	-9.427785e-01	0.000000e+00	2.000000e+00
3	-5.214029e-01	5.000000e-01	-1.271095e+00	-1.083276e+00	-1.220427e-01	1.085990e-04	-1.082190e+00						
4	-3.242647e-02	2.500000e-01	-4.949103e-01	-2.294161e-01	3.488630e-01	1.085064e-04	-2.283311e-01						
5	3.936431e-01	1.250000e-01	-3.208915e-01	2.459246e-02	6.253028e-01	1.095572e-04	2.568803e-02						
6	-1.186507e+00	1.250000e-01	-2.906086e-01	1.099587e-01	7.780006e-01	1.191274e-04	1.111500e-01	4.360356e-01	1.124156e+00	-1.162489e+00	-7.778815e-01	0.000000e+00	2.000000e+00
7	-8.069893e-01	6.250000e-02	-3.002241e-01	1.260328e-01	9.428868e-01	1.136958e-04	1.271698e-01						
8	-4.186922e-01	3.125000e-02	-2.902998e-01	1.390315e-01	8.587464e-01	1.222400e-04	1.402539e-01						
9	2.454940e-03	1.562500e-02	-2.891937e-01	1.430640e-01	8.179704e-01	1.218745e-04	1.442827e-01						
10	1.956215e-01	7.812500e-03	-2.895949e-01	1.444586e-01	7.978873e-01	1.108965e-04	1.455676e-01						
11	-3.103564e-01	7.812500e-03	-2.900230e-01	1.449950e-01	7.879203e-01	1.160836e-04	1.461559e-01	4.353900e-01	1.095052e+00	-1.188370e+00	-7.878042e-01	0.000000e+00	2.000000e+00
12	-1.349839e+00	3.906250e-03	-2.895949e-01	1.451347e-01	7.978884e-01	1.109198e-04	1.462439e-01						
13	-9.850606e+00	1.953125e-03	-2.897847e-01	1.452616e-01	7.928995e-01	1.203246e-04	1.464648e-01						
14	7.143621e-01	9.765625e-04	-2.898973e-01	1.453167e-01	7.904108e-01	1.205148e-04	1.465219e-01						
15	-3.093545e+00	9.765625e-04	-2.899660e-01	1.453462e-01	7.891698e-01	1.076373e-04	1.464226e-01	4.353423e-01	1.091409e+00	-1.191639e+00	-7.890621e-01	0.000000e+00	2.000000e+00
16	7.573130e-01	4.882812e-04	-2.899047e-01	1.453553e-01	7.904202e-01	1.090002e-04	1.464453e-01						
17	-5.582521e-01	4.882812e-04	-2.899386e-01	1.453679e-01	7.898043e-01	1.024390e-04	1.463923e-01	4.353212e-01	1.089561e+00	-1.193301e+00	-7.897019e-01	0.000000e+00	2.000000e+00
18	-2.000000e+00	2.441406e-04	-2.899083e-01	1.453732e-01	7.904392e-01	1.024377e-04	1.463975e-01						
19	-2.000000e+00	1.220703e-04	-2.899191e-01	1.453759e-01	7.901403e-01	1.074006e-04	1.464499e-01						
20	-2.000000e+00	6.103516e-05	-2.899247e-01	1.453775e-01	7.900052e-01	1.086825e-04	1.464643e-01						
21	-2.000000e+00	3.051758e-05	-2.899262e-01	1.453778e-01	7.899534e-01	1.100571e-04	1.464783e-01						
22	-2.000000e+00	1.525879e-05	-2.899315e-01	1.453802e-01	7.899374e-01	1.035019e-04	1.464153e-01						
23	-2.000000e+00	7.629395e-06	-2.899266e-01	1.453778e-01	7.899330e-01	1.109571e-04	1.464873e-01						
24	-2.000000e+00	3.814697e-06	-2.899266e-01	1.453777e-01	7.899319e-01	1.110236e-04	1.464880e-01						
25	-2.000000e+00	1.907349e-06	-2.899266e-01	1.453777e-01	7.899316e-01	1.110743e-04	1.464885e-01						
26	-2.000000e+00	9.536743e-07	-2.899266e-01	1.453777e-01	7.899315e-01	1.110214e-04	1.464880e-01						
27	-2.000000e+00	4.768372e-07	-2.899266e-01	1.453777e-01	7.899315e-01	1.110224e-04	1.464880e-01						
28	-2.000000e+00	2.384186e-07	-2.899266e-01	1.453777e-01	7.899315e-01	1.110226e-04	1.464880e-01						
29	-2.000000e+00	1.192093e-07	-2.899266e-01	1.453777e-01	7.899315e-01	1.110227e-04	1.464880e-01						
30		5.960464e-08	-2.899266e-01	1.453777e-01	7.899315e-01	1.110227e-04	1.464880e-01						
