RTO_iter	cost	con
1	3.000000e+00	-2.000000e+00
2	1.000000e+00	-1.000000e+00
3	2.500000e-01	-2.500000e-01
4	1.340336e-01	4.485626e-02
5	1.340336e-01	4.485626e-02
6	1.340336e-01	4.485626e-02
7	1.340336e-01	4.485626e-02
8	1.340336e-01	4.485625e-02
9	1.694241e-01	-6.541075e-02
10	1.453040e-01	2.933974e-04
11	1.453040e-01	2.933977e-04
12	1.453040e-01	2.933987e-04
13	1.517215e-01	-1.682180e-02
14	1.455135e-01	5.074354e-04
15	1.454512e-01	4.103551e-04
16	1.454904e-01	-1.784260e-05
17	1.453904e-01	3.865481e-04
18	1.453893e-01	3.837952e-04
19	1.453542e-01	1.451197e-04
20	1.453986e-01	6.064177e-05
21	1.454363e-01	2.729526e-05
22	1.454590e-01	1.286510e-05
23	1.454712e-01	6.257468e-06
24	1.454773e-01	3.180400e-06
25	1.454801e-01	1.816529e-06
