RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	8.380824e-01	1.000000e-01	-1.220000e+00	-1.220000e+00	-1.100000e-01	-1.100000e-01	-1.220000e+00	2.550000e+00	4.520000e+00	1.520000e+00	2.200000e-01	0.000000e+00	2.420000e+00
2	8.173053e-01	1.000000e-01	-1.028894e+00	1.053077e+00	-1.563885e-02	8.468511e-02	1.899928e+00	2.108996e+00	4.122882e+00	1.235272e+00	1.062042e-01	-4.440892e-16	2.222188e+00
3	7.936431e-01	1.000000e-01	-8.589755e-01	8.318607e-01	7.319068e-02	6.703215e-02	1.502182e+00	1.717935e+00	3.727220e+00	9.467417e-01	-3.381180e-05	0.000000e+00	2.019932e+00
4	7.640879e-01	1.000000e-01	-7.107694e-01	6.397118e-01	1.558245e-01	5.053592e-02	1.145071e+00	1.377678e+00	3.333709e+00	6.529587e-01	-9.881590e-02	0.000000e+00	1.811500e+00
5	7.263623e-01	1.000000e-01	-5.845275e-01	4.770204e-01	2.316086e-01	3.531850e-02	8.302054e-01	1.088845e+00	2.942744e+00	3.534353e-01	-1.894232e-01	0.000000e+00	1.596266e+00
6	6.769224e-01	1.000000e-01	-4.805491e-01	3.441959e-01	2.997658e-01	2.144553e-02	5.586512e-01	8.521455e-01	2.554823e+00	4.761526e-02	-2.710036e-01	0.000000e+00	1.373503e+00
7	5.886936e-01	1.000000e-01	-3.991927e-01	2.416898e-01	3.593630e-01	8.992545e-03	3.316153e-01	6.683866e-01	2.170579e+00	-2.651367e-01	-3.425367e-01	0.000000e+00	1.142366e+00
8	2.920220e-01	1.000000e-01	-3.397682e-01	1.695223e-01	4.103748e-01	1.221304e-04	1.707436e-01	5.368608e-01	1.789153e+00	-5.827817e-01	-4.020396e-01	0.000000e+00	9.052587e-01
9	2.946484e-02	1.000000e-01	-2.995171e-01	1.265990e-01	4.552495e-01	1.224033e-04	1.278230e-01	4.536590e-01	1.406511e+00	-8.983549e-01	-4.470761e-01	0.000000e+00	6.706852e-01
10	1.492216e-01	1.000000e-01	-2.832732e-01	1.150673e-01	4.885598e-01	1.223986e-04	1.162913e-01	4.260030e-01	1.029962e+00	-1.223755e+00	-4.795975e-01	0.000000e+00	4.240045e-01
11	-1.240017e-01	1.000000e-01	-3.007201e-01	1.327020e-01	4.539512e-01	1.223765e-04	1.339257e-01	4.554447e-01	1.408389e+00	-9.012434e-01	-4.476572e-01	0.000000e+00	6.671034e-01
12	5.513716e-01	5.000000e-02	-2.834222e-01	1.151713e-01	4.883856e-01	1.111295e-04	1.162825e-01						
13	6.654373e-02	5.000000e-02	-2.920565e-01	1.386505e-01	4.692967e-01	1.220469e-04	1.398710e-01	4.383486e-01	1.223314e+00	-1.068469e+00	-4.664488e-01	0.000000e+00	5.380827e-01
14	3.930753e-01	5.000000e-02	-2.875229e-01	1.372522e-01	4.835819e-01	1.128905e-04	1.383811e-01	4.324070e-01	1.036791e+00	-1.233717e+00	-4.808353e-01	0.000000e+00	4.115580e-01
15	-4.692912e-01	5.000000e-02	-2.930163e-01	1.419580e-01	4.682178e-01	1.128929e-04	1.430869e-01	4.397851e-01	1.224857e+00	-1.070704e+00	-4.668099e-01	0.000000e+00	5.352869e-01
16	3.739312e-01	2.500000e-02	-2.875911e-01	1.372983e-01	4.835022e-01	1.079109e-04	1.383774e-01						
17	-3.921259e-02	2.500000e-02	-2.902554e-01	1.429434e-01	4.754386e-01	1.124702e-04	1.440681e-01	4.354595e-01	1.131810e+00	-1.153627e+00	-4.745017e-01	0.000000e+00	4.716485e-01
18	5.832879e-01	1.250000e-02	-2.887627e-01	1.432515e-01	4.821319e-01	1.202378e-04	1.444538e-01						
19	-1.306665e-01	1.250000e-02	-2.896750e-01	1.445449e-01	4.784742e-01	1.095845e-04	1.456407e-01	4.349624e-01	1.085846e+00	-1.195832e+00	-4.780667e-01	0.000000e+00	4.388873e-01
20	5.367711e-01	6.250000e-03	-2.891337e-01	1.449584e-01	4.816966e-01	1.203211e-04	1.461616e-01						
21	1.478577e+00	6.250000e-03	-2.894822e-01	1.452205e-01	4.799650e-01	1.069877e-04	1.462904e-01	4.349765e-01	1.062827e+00	-1.216892e+00	-4.797431e-01	0.000000e+00	4.225610e-01
22	1.081381e+02	1.250000e-02	-2.899137e-01	1.454861e-01	4.781973e-01	1.068270e-04	1.465544e-01	4.353213e-01	1.086242e+00	-1.196373e+00	-4.781381e-01	0.000000e+00	4.382043e-01
23	2.788547e-01	2.500000e-02	-2.891490e-01	1.449671e-01	4.816783e-01	1.065504e-04	1.460326e-01	4.348565e-01	1.039448e+00	-1.237455e+00	-4.812923e-01	0.000000e+00	4.068615e-01
24	-1.547840e+00	2.500000e-02	-2.906820e-01	1.445651e-01	4.749479e-01	1.222224e-04	1.457873e-01	4.361000e-01	1.132532e+00	-1.154582e+00	-4.746383e-01	0.000000e+00	4.704373e-01
25	-2.230571e-01	1.250000e-02	-2.887785e-01	1.432620e-01	4.821117e-01	1.222236e-04	1.444843e-01						
26	4.145956e-01	6.250000e-03	-2.896892e-01	1.445537e-01	4.784575e-01	1.043378e-04	1.455971e-01						
27	-4.845301e-03	6.250000e-03	-2.902241e-01	1.450636e-01	4.766288e-01	1.067082e-04	1.461307e-01	4.355612e-01	1.109329e+00	-1.175400e+00	-4.764100e-01	0.000000e+00	4.544194e-01
28	5.255292e-01	3.125000e-03	-2.898049e-01	1.450795e-01	4.783236e-01	1.068199e-04	1.461477e-01						
29	-1.114372e-01	3.125000e-03	-2.900480e-01	1.452397e-01	4.774303e-01	1.025661e-04	1.462654e-01	4.354002e-01	1.097763e+00	-1.185865e+00	-4.772792e-01	0.000000e+00	4.463405e-01
30		1.562500e-03	-2.898480e-01	1.452623e-01	4.782740e-01	1.070941e-04	1.463332e-01						
