RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	8.017452e-01	2.000000e-01	1.220000e+00	1.220000e+00	-1.100000e-01	-1.100000e-01	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.200000e-01	0.000000e+00	2.420000e+00
2	6.584537e-01	2.000000e-01	8.791644e-01	8.446757e-01	6.223401e-02	1.107415e-04	8.457831e-01	-1.554348e-02	-1.657986e-02	9.374911e-01	-3.260995e-02	-6.661338e-16	1.953681e+00
3	4.746176e-01	2.000000e-01	5.953368e-01	4.909706e-01	2.238591e-01	1.203190e-04	4.921738e-01	-8.730070e-02	-1.144100e-01	7.630512e-01	-2.026407e-01	2.775558e-15	1.562360e+00
4	2.131031e-01	2.000000e-01	3.961491e-01	2.506883e-01	3.621363e-01	1.134127e-04	2.518224e-01	-1.279117e-01	-2.164237e-01	5.910245e-01	-3.391690e-01	0.000000e+00	1.154305e+00
5	1.555283e-01	2.000000e-01	2.878976e-01	1.301721e-01	4.677498e-01	1.131824e-04	1.313039e-01	-1.392314e-01	-3.277181e-01	4.248511e-01	-4.406379e-01	0.000000e+00	7.091278e-01
6	4.738381e-01	2.000000e-01	2.760245e-01	1.336279e-01	5.130373e-01	1.132242e-04	1.347601e-01	-1.299102e-01	-4.296548e-01	3.023595e-01	-4.901031e-01	0.000000e+00	3.013808e-01
7	-4.939151e-02	2.000000e-01	2.918223e-01	1.390285e-01	4.658184e-01	1.132213e-04	1.401607e-01	-1.438703e-01	-3.487009e-01	4.125893e-01	-4.542172e-01	0.000000e+00	6.251963e-01
8	1.968015e-01	1.000000e-01	2.815836e-01	1.391731e-01	5.003447e-01	1.113820e-04	1.402870e-01						
9	7.357522e-01	1.000000e-01	2.828009e-01	1.394454e-01	4.942260e-01	1.094338e-04	1.405397e-01	-1.384422e-01	-4.125199e-01	3.356014e-01	-4.846944e-01	0.000000e+00	3.699206e-01
10	-3.785456e-01	1.000000e-01	2.917253e-01	1.438622e-01	4.703029e-01	1.079888e-04	1.449421e-01	-1.457181e-01	-3.733236e-01	3.903266e-01	-4.679062e-01	0.000000e+00	5.267056e-01
11	-9.807938e-02	5.000000e-02	2.869183e-01	1.438715e-01	4.868766e-01	1.161618e-04	1.450331e-01						
12	6.274463e-01	2.500000e-02	2.874393e-01	1.439183e-01	4.846127e-01	1.125965e-04	1.450443e-01						
13	6.936851e-01	2.500000e-02	2.898672e-01	1.447910e-01	4.766556e-01	1.106761e-04	1.458977e-01	-1.447668e-01	-3.897251e-01	3.714587e-01	-4.756789e-01	0.000000e+00	4.610994e-01
14	1.168810e+00	2.500000e-02	2.895522e-01	1.452878e-01	4.791599e-01	1.130955e-04	1.464187e-01	-1.442041e-01	-3.970292e-01	3.632079e-01	-4.787940e-01	0.000000e+00	4.318832e-01
15	5.899228e+00	5.000000e-02	2.903988e-01	1.453505e-01	4.762540e-01	1.131102e-04	1.464816e-01	-1.450008e-01	-3.908861e-01	3.709540e-01	-4.761883e-01	0.000000e+00	4.564557e-01
