RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	1.014094e+00	4.881310e-02
2	8.456602e-01	-5.903029e-02
3	6.820560e-01	-1.740680e-01
4	5.142175e-01	-2.828350e-01
5	3.551018e-01	-4.040051e-01
6	5.142175e-01	-2.828350e-01
7	4.332889e-01	-3.416610e-01
8	3.938167e-01	-3.723639e-01
9	3.743602e-01	-3.880639e-01
10	3.551029e-01	-4.040064e-01
11	3.647045e-01	-3.960029e-01
12	3.551015e-01	-4.040054e-01
13	3.598982e-01	-3.999992e-01
14	3.622981e-01	-3.979989e-01
15	3.634990e-01	-3.970016e-01
16	3.641001e-01	-3.965075e-01
17	3.634913e-01	-3.970069e-01
18	3.622872e-01	-3.980073e-01
19	3.628852e-01	-3.975095e-01
20	3.631806e-01	-3.972634e-01
21	3.625750e-01	-3.977669e-01
22	3.628735e-01	-3.975242e-01
23	3.625634e-01	-3.977817e-01
24	3.627050e-01	-3.976640e-01
25	3.627634e-01	-3.976094e-01
26	3.625948e-01	-3.977490e-01
27	3.622852e-01	-3.980065e-01
28	3.624261e-01	-3.978890e-01
29	3.624909e-01	-3.978416e-01
30	3.623228e-01	-3.979814e-01
